ligand_human_symbol,receptor_human_symbol,ligand_human_ensembl,receptor_human_ensembl,ligand_mouse_symbol,receptor_mouse_symbol,ligand_mouse_ensembl,receptor_mouse_ensembl,database,source
GNRH2,GNRHR2,ENSG00000125787,ENSG00000211451,NA,NA,NA,NA,omnipath,omnipath
GP1BA,SELP,ENSG00000185245,ENSG00000174175,Gp1ba,Selp,ENSMUSG00000050675,ENSMUSG00000026580,omnipath,omnipath
GP1BA,ITGAM,ENSG00000185245,ENSG00000169896,Gp1ba,Itgam,ENSMUSG00000050675,ENSMUSG00000030786,omnipath,omnipath
GP1BA,ITGB2,ENSG00000185245,ENSG00000160255,Gp1ba,Itgb2l,ENSMUSG00000050675,ENSMUSG00000000157,omnipath,omnipath
GP5,ITGB2,ENSG00000178732,ENSG00000160255,Gp5,Itgb2l,ENSMUSG00000047953,ENSMUSG00000000157,omnipath,omnipath
GP5,LAYN,ENSG00000178732,ENSG00000204381,Gp5,Layn,ENSMUSG00000047953,ENSMUSG00000060594,omnipath,omnipath
GP5,ITGAM,ENSG00000178732,ENSG00000169896,Gp5,Itgam,ENSMUSG00000047953,ENSMUSG00000030786,omnipath,omnipath
GP5,SELP,ENSG00000178732,ENSG00000174175,Gp5,Selp,ENSMUSG00000047953,ENSMUSG00000026580,omnipath,omnipath
GPC3,DPP4,ENSG00000147257,ENSG00000197635,Gpc3,Dpp4,ENSMUSG00000055653,ENSMUSG00000035000,omnipath,omnipath
GPC3,LRP1,ENSG00000147257,ENSG00000123384,Gpc3,Lrp1,ENSMUSG00000055653,ENSMUSG00000040249,omnipath,omnipath
GPC3,CD81,ENSG00000147257,ENSG00000110651,Gpc3,Cd81,ENSMUSG00000055653,ENSMUSG00000037706,omnipath,omnipath
GPC3,LRP2,ENSG00000147257,ENSG00000081479,Gpc3,Lrp2,ENSMUSG00000055653,ENSMUSG00000027070,omnipath,omnipath
GPC3,IGF1R,ENSG00000147257,ENSG00000140443,Gpc3,Igf1r,ENSMUSG00000055653,ENSMUSG00000005533,omnipath,omnipath
GPC3,FGFR4,ENSG00000147257,ENSG00000160867,Gpc3,Fgfr4,ENSMUSG00000055653,ENSMUSG00000005320,omnipath,omnipath
GPC3,UNC5D,ENSG00000147257,ENSG00000156687,Gpc3,Unc5d,ENSMUSG00000055653,ENSMUSG00000063626,omnipath,omnipath
GPC3,FLT1,ENSG00000147257,ENSG00000102755,Gpc3,Flt1,ENSMUSG00000055653,ENSMUSG00000029648,omnipath,omnipath
GPC3,UNC5C,ENSG00000147257,ENSG00000182168,Gpc3,Unc5c,ENSMUSG00000055653,ENSMUSG00000059921,omnipath,omnipath
GPC3,VSIG10L,ENSG00000147257,ENSG00000186806,Gpc3,Vsig10l,ENSMUSG00000055653,ENSMUSG00000070604,omnipath,omnipath
GPC3,TNFRSF11B,ENSG00000147257,ENSG00000164761,Gpc3,Tnfrsf11b,ENSMUSG00000055653,ENSMUSG00000063727,omnipath,omnipath
GPC6,FGFR4,ENSG00000183098,ENSG00000160867,Gpc6,Fgfr4,ENSMUSG00000058571,ENSMUSG00000005320,nichenet_verschueren,nichenet_verschueren
GPC6,TNFRSF11B,ENSG00000183098,ENSG00000164761,Gpc6,Tnfrsf11b,ENSMUSG00000058571,ENSMUSG00000063727,nichenet_verschueren,nichenet_verschueren
GPC6,PTCH1,ENSG00000183098,ENSG00000185920,Gpc6,Ptch1,ENSMUSG00000058571,ENSMUSG00000021466,omnipath,omnipath
GPC6,FGFRL1,ENSG00000183098,ENSG00000127418,Gpc6,Fgfrl1,ENSMUSG00000058571,ENSMUSG00000008090,omnipath,omnipath
GPC6,LRP1,ENSG00000183098,ENSG00000123384,Gpc6,Lrp1,ENSMUSG00000058571,ENSMUSG00000040249,omnipath,omnipath
GPC6,LRP2,ENSG00000183098,ENSG00000081479,Gpc6,Lrp2,ENSMUSG00000058571,ENSMUSG00000027070,omnipath,omnipath
GPHA2,TSHR,ENSG00000149735,ENSG00000165409,Gpha2,Tshr,ENSMUSG00000024784,ENSMUSG00000020963,omnipath,omnipath
GPHA2,EPHA6,ENSG00000149735,ENSG00000080224,Gpha2,Epha6,ENSMUSG00000024784,ENSMUSG00000055540,omnipath,omnipath
GPHB5,TSHR,ENSG00000179600,ENSG00000165409,Gphb5,Tshr,ENSMUSG00000048982,ENSMUSG00000020963,omnipath,omnipath
GPI,AMFR,ENSG00000105220,ENSG00000159461,Gpi1,Amfr,ENSMUSG00000036427,ENSMUSG00000031751,omnipath,omnipath
GREM1,KDR,ENSG00000166923,ENSG00000128052,Grem1,Kdr,ENSMUSG00000074934,ENSMUSG00000062960,omnipath,omnipath
GRN,TNFRSF1A,ENSG00000030582,ENSG00000067182,Grn,Tnfrsf1a,ENSMUSG00000034708,ENSMUSG00000030341,omnipath,omnipath
GRN,EGFR,ENSG00000030582,ENSG00000146648,Grn,Egfr,ENSMUSG00000034708,ENSMUSG00000020122,omnipath,omnipath
GRN,SORT1,ENSG00000030582,ENSG00000134243,Grn,Sort1,ENSMUSG00000034708,ENSMUSG00000068747,omnipath,omnipath
GRN,TNFRSF1B,ENSG00000030582,ENSG00000028137,Grn,Tnfrsf1b,ENSMUSG00000034708,ENSMUSG00000028599,omnipath,omnipath
GRN,CLEC4M,ENSG00000030582,ENSG00000104938,Grn,Cd209f,ENSMUSG00000034708,ENSMUSG00000051906,omnipath,omnipath
GRP,GRPR,ENSG00000134443,ENSG00000126010,Grp,Grpr,ENSMUSG00000024517,ENSMUSG00000031364,omnipath,omnipath
GRP,BRS3,ENSG00000134443,ENSG00000102239,Grp,Brs3,ENSMUSG00000024517,ENSMUSG00000031130,omnipath,omnipath
GRP,NMBR,ENSG00000134443,ENSG00000135577,Grp,Nmbr,ENSMUSG00000024517,ENSMUSG00000019865,omnipath,omnipath
GRP,FAP,ENSG00000134443,ENSG00000078098,Grp,Fap,ENSMUSG00000024517,ENSMUSG00000000392,omnipath,omnipath
GSTP1,TRAF2,ENSG00000084207,ENSG00000127191,Gstp2,Traf2,ENSMUSG00000038155,ENSMUSG00000026942,nichenet_verschueren,nichenet_verschueren
GUCA2A,GUCY2C,ENSG00000197273,ENSG00000070019,Guca2a,Gucy2c,ENSMUSG00000023247,ENSMUSG00000042638,omnipath,omnipath
GUCA2B,GUCY2C,ENSG00000044012,ENSG00000070019,Guca2b,Gucy2c,ENSMUSG00000032978,ENSMUSG00000042638,omnipath,omnipath
GUCA2B,GUCY2D,ENSG00000044012,ENSG00000132518,Guca2b,Gucy2e,ENSMUSG00000032978,ENSMUSG00000020890,omnipath,omnipath
GUCY2D,NECTIN3,ENSG00000132518,ENSG00000177707,Gucy2e,Nectin3,ENSMUSG00000020890,ENSMUSG00000022656,omnipath,omnipath
GUCY2D,NECTIN4,ENSG00000132518,ENSG00000143217,Gucy2e,Nectin4,ENSMUSG00000020890,ENSMUSG00000006411,omnipath,omnipath
GZMB,IGF2R,ENSG00000100453,ENSG00000197081,Gzmb,Igf2r,ENSMUSG00000015437,ENSMUSG00000023830,omnipath,omnipath
GZMB,CHRM3,ENSG00000100453,ENSG00000133019,Gzmb,Chrm3,ENSMUSG00000015437,ENSMUSG00000046159,omnipath,omnipath
GZMB,MCL1,ENSG00000100453,ENSG00000143384,Gzmb,Mcl1,ENSMUSG00000015437,ENSMUSG00000038612,omnipath,omnipath
HAPLN1,MPIG6B,ENSG00000145681,ENSG00000204420,Hapln1,Mpig6b,ENSMUSG00000021613,ENSMUSG00000073414,omnipath,omnipath
HAPLN1,PRTG,ENSG00000145681,ENSG00000166450,Hapln1,Prtg,ENSMUSG00000021613,ENSMUSG00000036030,omnipath,omnipath
HAPLN1,IGDCC4,ENSG00000145681,ENSG00000103742,Hapln1,Igdcc4,ENSMUSG00000021613,ENSMUSG00000032816,omnipath,omnipath
HAPLN1,IL1RL1,ENSG00000145681,ENSG00000115602,Hapln1,Il1rl1,ENSMUSG00000021613,ENSMUSG00000026069,omnipath,omnipath
HAPLN1,ADGRA2,ENSG00000145681,ENSG00000020181,Hapln1,Adgra2,ENSMUSG00000021613,ENSMUSG00000031486,omnipath,omnipath
HAPLN1,AGER,ENSG00000145681,ENSG00000204305,Hapln1,Ager,ENSMUSG00000021613,ENSMUSG00000015452,omnipath,omnipath
HAPLN1,TREML2,ENSG00000145681,ENSG00000112195,Hapln1,Treml2,ENSMUSG00000021613,ENSMUSG00000071068,omnipath,omnipath
HAPLN1,TNFRSF11B,ENSG00000145681,ENSG00000164761,Hapln1,Tnfrsf11b,ENSMUSG00000021613,ENSMUSG00000063727,omnipath,omnipath
HAS1,CD44,ENSG00000105509,ENSG00000026508,Has1,Cd44,ENSMUSG00000003665,ENSMUSG00000005087,omnipath,omnipath
HAS2,HMMR,ENSG00000170961,ENSG00000072571,Has2,Hmmr,ENSMUSG00000022367,ENSMUSG00000020330,nichenet_verschueren,nichenet_verschueren
HAS2,CD44,ENSG00000170961,ENSG00000026508,Has2,Cd44,ENSMUSG00000022367,ENSMUSG00000005087,omnipath,omnipath
HAS2,ERBB2,ENSG00000170961,ENSG00000141736,Has2,Erbb2,ENSMUSG00000022367,ENSMUSG00000062312,omnipath,omnipath
HAS2,EZR,ENSG00000170961,ENSG00000092820,Has2,Ezr,ENSMUSG00000022367,ENSMUSG00000052397,omnipath,omnipath
HAVCR1,TIMD4,ENSG00000113249,ENSG00000145850,Havcr1,Timd4,ENSMUSG00000040405,ENSMUSG00000055546,omnipath,omnipath
HAVCR1,CD300LB,ENSG00000113249,ENSG00000178789,Havcr1,Cd300lb,ENSMUSG00000040405,ENSMUSG00000063193,omnipath,omnipath
HAVCR1,BTN3A3,ENSG00000113249,ENSG00000111801,Havcr1,NA,ENSMUSG00000040405,NA,omnipath,omnipath
HAVCR1,SIGLEC1,ENSG00000113249,ENSG00000088827,Havcr1,Siglec1,ENSMUSG00000040405,ENSMUSG00000027322,omnipath,omnipath
HAVCR1,IGSF21,ENSG00000113249,ENSG00000117154,Havcr1,Igsf21,ENSMUSG00000040405,ENSMUSG00000040972,omnipath,omnipath
HBEGF,MOG,ENSG00000113070,ENSG00000204655,Hbegf,Mog,ENSMUSG00000024486,ENSMUSG00000076439,nichenet_verschueren,nichenet_verschueren
HBEGF,CD6,ENSG00000113070,ENSG00000013725,Hbegf,Cd6,ENSMUSG00000024486,ENSMUSG00000024670,nichenet_verschueren,nichenet_verschueren
HBEGF,EGFR,ENSG00000113070,ENSG00000146648,Hbegf,Egfr,ENSMUSG00000024486,ENSMUSG00000020122,omnipath,omnipath
HBEGF,ERBB4,ENSG00000113070,ENSG00000178568,Hbegf,Erbb4,ENSMUSG00000024486,ENSMUSG00000062209,omnipath,omnipath
HBEGF,CD44,ENSG00000113070,ENSG00000026508,Hbegf,Cd44,ENSMUSG00000024486,ENSMUSG00000005087,omnipath,omnipath
HBEGF,CD9,ENSG00000113070,ENSG00000010278,Hbegf,Cd9,ENSMUSG00000024486,ENSMUSG00000030342,omnipath,omnipath
HBEGF,ERBB2,ENSG00000113070,ENSG00000141736,Hbegf,Erbb2,ENSMUSG00000024486,ENSMUSG00000062312,omnipath,omnipath
HBEGF,CD82,ENSG00000113070,ENSG00000085117,Hbegf,Cd82,ENSMUSG00000024486,ENSMUSG00000027215,omnipath,omnipath
HCRT,HCRTR1,ENSG00000161610,ENSG00000121764,Hcrt,Hcrtr1,ENSMUSG00000045471,ENSMUSG00000028778,omnipath,omnipath
HCRT,HCRTR2,ENSG00000161610,ENSG00000137252,Hcrt,Hcrtr2,ENSMUSG00000045471,ENSMUSG00000032360,omnipath,omnipath
HCRT,NPFFR2,ENSG00000161610,ENSG00000056291,Hcrt,Npffr2,ENSMUSG00000045471,ENSMUSG00000035528,omnipath,omnipath
HDC,HRH1,ENSG00000140287,ENSG00000196639,Hdc,Hrh1,ENSMUSG00000027360,ENSMUSG00000053004,nichenet_verschueren,nichenet_verschueren
HDC,HRH2,ENSG00000140287,ENSG00000113749,Hdc,Hrh2,ENSMUSG00000027360,ENSMUSG00000034987,nichenet_verschueren,nichenet_verschueren
HDC,HRH3,ENSG00000140287,ENSG00000101180,Hdc,Hrh3,ENSMUSG00000027360,ENSMUSG00000039059,nichenet_verschueren,nichenet_verschueren
HDC,HRH4,ENSG00000140287,ENSG00000134489,Hdc,Hrh4,ENSMUSG00000027360,ENSMUSG00000037346,nichenet_verschueren,nichenet_verschueren
HEBP1,FPR2,ENSG00000013583,ENSG00000171049,Hebp1,Fpr-rs4,ENSMUSG00000042770,ENSMUSG00000048062,nichenet_verschueren,nichenet_verschueren
HEBP1,FPR3,ENSG00000013583,ENSG00000187474,Hebp1,NA,ENSMUSG00000042770,NA,nichenet_verschueren,nichenet_verschueren
HGF,MET,ENSG00000019991,ENSG00000105976,Hgf,Met,ENSMUSG00000028864,ENSMUSG00000009376,omnipath,omnipath
HGF,CD44,ENSG00000019991,ENSG00000026508,Hgf,Cd44,ENSMUSG00000028864,ENSMUSG00000005087,omnipath,omnipath
HGF,SDC1,ENSG00000019991,ENSG00000115884,Hgf,Sdc1,ENSMUSG00000028864,ENSMUSG00000020592,omnipath,omnipath
HGF,SDC2,ENSG00000019991,ENSG00000169439,Hgf,Sdc2,ENSMUSG00000028864,ENSMUSG00000022261,omnipath,omnipath
HGF,ST14,ENSG00000019991,ENSG00000149418,Hgf,St14,ENSMUSG00000028864,ENSMUSG00000031995,omnipath,omnipath
HHIPL2,CACHD1,ENSG00000143512,ENSG00000158966,Hhipl2,Cachd1,ENSMUSG00000053461,ENSMUSG00000028532,omnipath,omnipath
HHLA2,KIR3DL3,ENSG00000114455,ENSG00000242019,NA,Kir3dl1,NA,ENSMUSG00000031424,nichenet_verschueren,nichenet_verschueren
HHLA2,TMIGD2,ENSG00000114455,ENSG00000167664,NA,NA,NA,NA,omnipath,omnipath
HHLA2,VSTM2B,ENSG00000114455,ENSG00000187135,NA,Vstm2b,NA,ENSMUSG00000039257,omnipath,omnipath
HHLA2,VSIG8,ENSG00000114455,ENSG00000243284,NA,Vsig8,NA,ENSMUSG00000049598,omnipath,omnipath
HJV,NEO1,ENSG00000168509,ENSG00000067141,Hjv,Neo1,ENSMUSG00000038403,ENSMUSG00000032340,nichenet_verschueren,nichenet_verschueren
HLA-A,LILRB1,ENSG00000206503,ENSG00000104972,H2-M1,Lilra6,ENSMUSG00000037334,ENSMUSG00000030427,omnipath,omnipath
HLA-A,KIR3DL2,ENSG00000206503,ENSG00000240403,H2-M1,Kir3dl1,ENSMUSG00000037334,ENSMUSG00000031424,omnipath,omnipath
HLA-A,APLP2,ENSG00000206503,ENSG00000084234,H2-M1,Aplp2,ENSMUSG00000037334,ENSMUSG00000031996,omnipath,omnipath
HLA-A,ERBB2,ENSG00000206503,ENSG00000141736,H2-M1,Erbb2,ENSMUSG00000037334,ENSMUSG00000062312,omnipath,omnipath
HLA-A,KIR3DL1,ENSG00000206503,ENSG00000167633,H2-M1,Kir3dl1,ENSMUSG00000037334,ENSMUSG00000031424,omnipath,omnipath
HLA-A,LILRB2,ENSG00000206503,ENSG00000131042,H2-M1,Lilra6,ENSMUSG00000037334,ENSMUSG00000030427,omnipath,omnipath
HLA-A,CD8A,ENSG00000206503,ENSG00000153563,H2-M1,Cd8a,ENSMUSG00000037334,ENSMUSG00000053977,omnipath,omnipath
HLA-A,KLRD1,ENSG00000206503,ENSG00000134539,H2-M1,Klrd1,ENSMUSG00000037334,ENSMUSG00000030165,omnipath,omnipath
HLA-B,LILRB1,ENSG00000234745,ENSG00000104972,H2-M1,Lilra6,ENSMUSG00000037334,ENSMUSG00000030427,omnipath,omnipath
HLA-B,KIR3DL1,ENSG00000234745,ENSG00000167633,H2-M1,Kir3dl1,ENSMUSG00000037334,ENSMUSG00000031424,omnipath,omnipath
HLA-B,KIR3DL2,ENSG00000234745,ENSG00000240403,H2-M1,Kir3dl1,ENSMUSG00000037334,ENSMUSG00000031424,omnipath,omnipath
HLA-B,KIR2DL3,ENSG00000234745,ENSG00000243772,H2-M1,Kir3dl1,ENSMUSG00000037334,ENSMUSG00000031424,omnipath,omnipath
HLA-B,KLRD1,ENSG00000234745,ENSG00000134539,H2-M1,Klrd1,ENSMUSG00000037334,ENSMUSG00000030165,omnipath,omnipath
HLA-B,LILRB2,ENSG00000234745,ENSG00000131042,H2-M1,Lilra6,ENSMUSG00000037334,ENSMUSG00000030427,omnipath,omnipath
HLA-B,CD8A,ENSG00000234745,ENSG00000153563,H2-M1,Cd8a,ENSMUSG00000037334,ENSMUSG00000053977,omnipath,omnipath
HLA-C,LILRB1,ENSG00000204525,ENSG00000104972,H2-M1,Lilra6,ENSMUSG00000037334,ENSMUSG00000030427,omnipath,omnipath
HLA-C,KIR2DL1,ENSG00000204525,ENSG00000125498,H2-M1,Kir3dl1,ENSMUSG00000037334,ENSMUSG00000031424,omnipath,omnipath
HLA-C,KIR2DL2,ENSG00000204525,ENSG00000273661,H2-M1,NA,ENSMUSG00000037334,NA,omnipath,omnipath
HLA-C,KIR2DL3,ENSG00000204525,ENSG00000243772,H2-M1,Kir3dl1,ENSMUSG00000037334,ENSMUSG00000031424,omnipath,omnipath
HLA-C,LILRB2,ENSG00000204525,ENSG00000131042,H2-M1,Lilra6,ENSMUSG00000037334,ENSMUSG00000030427,omnipath,omnipath
HLA-C,KIR2DS1,ENSG00000204525,ENSG00000284150,H2-M1,NA,ENSMUSG00000037334,NA,omnipath,omnipath
HLA-C,KIR2DS4,ENSG00000204525,ENSG00000221957,H2-M1,Kir3dl1,ENSMUSG00000037334,ENSMUSG00000031424,omnipath,omnipath
HLA-C,LILRA3,ENSG00000204525,ENSG00000273884,H2-M1,NA,ENSMUSG00000037334,NA,omnipath,omnipath
HLA-DMA,CD74,ENSG00000204257,ENSG00000019582,H2-DMa,Cd74,ENSMUSG00000037649,ENSMUSG00000024610,omnipath,omnipath
HLA-DMA,CD4,ENSG00000204257,ENSG00000010610,H2-DMa,Cd4,ENSMUSG00000037649,ENSMUSG00000023274,omnipath,omnipath
HLA-DMB,CD74,ENSG00000242574,ENSG00000019582,H2-DMb2,Cd74,ENSMUSG00000037548,ENSMUSG00000024610,omnipath,omnipath
HLA-DMB,CD4,ENSG00000242574,ENSG00000010610,H2-DMb2,Cd4,ENSMUSG00000037548,ENSMUSG00000023274,omnipath,omnipath
HLA-DOA,CD4,ENSG00000204252,ENSG00000010610,H2-Oa,Cd4,ENSMUSG00000024334,ENSMUSG00000023274,omnipath,omnipath
HLA-DOB,CD4,ENSG00000241106,ENSG00000010610,H2-Ob,Cd4,ENSMUSG00000041538,ENSMUSG00000023274,omnipath,omnipath
HLA-DPB1,LAG3,ENSG00000236693,ENSG00000089692,NA,Lag3,NA,ENSMUSG00000030124,omnipath,omnipath
HLA-DPB1,CD4,ENSG00000236693,ENSG00000010610,NA,Cd4,NA,ENSMUSG00000023274,omnipath,omnipath
HLA-DQA1,LAG3,ENSG00000236418,ENSG00000089692,NA,Lag3,NA,ENSMUSG00000030124,omnipath,omnipath
HLA-DQA1,CD4,ENSG00000236418,ENSG00000010610,NA,Cd4,NA,ENSMUSG00000023274,omnipath,omnipath
HLA-DQA2,LAG3,ENSG00000237541,ENSG00000089692,NA,Lag3,NA,ENSMUSG00000030124,omnipath,omnipath
HLA-DQA2,CD4,ENSG00000237541,ENSG00000010610,NA,Cd4,NA,ENSMUSG00000023274,omnipath,omnipath
HLA-DQB1,LAG3,ENSG00000179344,ENSG00000089692,H2-Ab1,Lag3,ENSMUSG00000073421,ENSMUSG00000030124,omnipath,omnipath
HLA-DQB1,CD4,ENSG00000179344,ENSG00000010610,H2-Ab1,Cd4,ENSMUSG00000073421,ENSMUSG00000023274,omnipath,omnipath
HLA-DQB2,LAG3,ENSG00000232629,ENSG00000089692,H2-Ab1,Lag3,ENSMUSG00000073421,ENSMUSG00000030124,omnipath,omnipath
HLA-DRA,CD4,ENSG00000204287,ENSG00000010610,H2-Ea,Cd4,ENSMUSG00000036322,ENSMUSG00000023274,nichenet_verschueren,nichenet_verschueren
HLA-DRA,LAG3,ENSG00000204287,ENSG00000089692,H2-Ea,Lag3,ENSMUSG00000036322,ENSMUSG00000030124,omnipath,omnipath
HLA-DRA,CD82,ENSG00000204287,ENSG00000085117,H2-Ea,Cd82,ENSMUSG00000036322,ENSMUSG00000027215,omnipath,omnipath
HLA-DRA,CD19,ENSG00000204287,ENSG00000177455,H2-Ea,Cd19,ENSMUSG00000036322,ENSMUSG00000030724,omnipath,omnipath
HLA-DRA,CD53,ENSG00000204287,ENSG00000143119,H2-Ea,Cd53,ENSMUSG00000036322,ENSMUSG00000040747,omnipath,omnipath
HLA-DRA,CD9,ENSG00000204287,ENSG00000010278,H2-Ea,Cd9,ENSMUSG00000036322,ENSMUSG00000030342,omnipath,omnipath
HLA-DRA,CD63,ENSG00000204287,ENSG00000135404,H2-Ea,Cd63,ENSMUSG00000036322,ENSMUSG00000025351,omnipath,omnipath
HLA-DRA,CR2,ENSG00000204287,ENSG00000117322,H2-Ea,Cr2,ENSMUSG00000036322,ENSMUSG00000026616,omnipath,omnipath
HLA-DRA,CD37,ENSG00000204287,ENSG00000104894,H2-Ea,Cd37,ENSMUSG00000036322,ENSMUSG00000030798,omnipath,omnipath
HLA-DRA,CD81,ENSG00000204287,ENSG00000110651,H2-Ea,Cd81,ENSMUSG00000036322,ENSMUSG00000037706,omnipath,omnipath
HLA-DRB1,LAG3,ENSG00000196126,ENSG00000089692,H2-Eb2,Lag3,ENSMUSG00000067341,ENSMUSG00000030124,omnipath,omnipath
HLA-DRB1,CR2,ENSG00000196126,ENSG00000117322,H2-Eb2,Cr2,ENSMUSG00000067341,ENSMUSG00000026616,omnipath,omnipath
HLA-DRB1,CD82,ENSG00000196126,ENSG00000085117,H2-Eb2,Cd82,ENSMUSG00000067341,ENSMUSG00000027215,omnipath,omnipath
HLA-DRB1,CD81,ENSG00000196126,ENSG00000110651,H2-Eb2,Cd81,ENSMUSG00000067341,ENSMUSG00000037706,omnipath,omnipath
HLA-DRB1,CD19,ENSG00000196126,ENSG00000177455,H2-Eb2,Cd19,ENSMUSG00000067341,ENSMUSG00000030724,omnipath,omnipath
HLA-DRB1,CD37,ENSG00000196126,ENSG00000104894,H2-Eb2,Cd37,ENSMUSG00000067341,ENSMUSG00000030798,omnipath,omnipath
HLA-DRB1,CD53,ENSG00000196126,ENSG00000143119,H2-Eb2,Cd53,ENSMUSG00000067341,ENSMUSG00000040747,omnipath,omnipath
HLA-DRB3,LAG3,ENSG00000230463,ENSG00000089692,NA,Lag3,NA,ENSMUSG00000030124,omnipath,omnipath
HLA-DRB3,CD4,ENSG00000230463,ENSG00000010610,NA,Cd4,NA,ENSMUSG00000023274,omnipath,omnipath
HLA-DRB4,LAG3,ENSG00000227357,ENSG00000089692,NA,Lag3,NA,ENSMUSG00000030124,omnipath,omnipath
HLA-DRB4,CD4,ENSG00000227357,ENSG00000010610,NA,Cd4,NA,ENSMUSG00000023274,omnipath,omnipath
HLA-DRB5,LAG3,ENSG00000198502,ENSG00000089692,H2-Eb2,Lag3,ENSMUSG00000067341,ENSMUSG00000030124,omnipath,omnipath
HLA-DRB5,CD4,ENSG00000198502,ENSG00000010610,H2-Eb2,Cd4,ENSMUSG00000067341,ENSMUSG00000023274,omnipath,omnipath
HLA-E,CD8A,ENSG00000204592,ENSG00000153563,NA,Cd8a,NA,ENSMUSG00000053977,nichenet_verschueren,nichenet_verschueren
HLA-E,KLRC2,ENSG00000204592,ENSG00000205809,NA,Klri2,NA,ENSMUSG00000043932,omnipath,omnipath
HLA-E,KLRD1,ENSG00000204592,ENSG00000134539,NA,Klrd1,NA,ENSMUSG00000030165,omnipath,omnipath
HLA-E,KLRK1,ENSG00000204592,ENSG00000213809,NA,Klrk1,NA,ENSMUSG00000030149,omnipath,omnipath
HLA-E,KLRC1,ENSG00000204592,ENSG00000134545,NA,Klrc1,NA,ENSMUSG00000030167,omnipath,omnipath
HLA-E,KLRC3,ENSG00000204592,ENSG00000205810,NA,Klri2,NA,ENSMUSG00000043932,omnipath,omnipath
HLA-F,CD8A,ENSG00000204642,ENSG00000153563,H2-M1,Cd8a,ENSMUSG00000037334,ENSMUSG00000053977,nichenet_verschueren,nichenet_verschueren
HLA-F,LILRB1,ENSG00000204642,ENSG00000104972,H2-M1,Lilra6,ENSMUSG00000037334,ENSMUSG00000030427,omnipath,omnipath
HLA-F,KIR3DL1,ENSG00000204642,ENSG00000167633,H2-M1,Kir3dl1,ENSMUSG00000037334,ENSMUSG00000031424,omnipath,omnipath
HLA-F,KIR3DL2,ENSG00000204642,ENSG00000240403,H2-M1,Kir3dl1,ENSMUSG00000037334,ENSMUSG00000031424,omnipath,omnipath
HLA-F,KIR3DS1,ENSG00000204642,ENSG00000283889,H2-M1,NA,ENSMUSG00000037334,NA,omnipath,omnipath
HLA-F,LILRB2,ENSG00000204642,ENSG00000131042,H2-M1,Lilra6,ENSMUSG00000037334,ENSMUSG00000030427,omnipath,omnipath
HLA-F,KIR2DS4,ENSG00000204642,ENSG00000221957,H2-M1,Kir3dl1,ENSMUSG00000037334,ENSMUSG00000031424,omnipath,omnipath
HLA-G,KIR2DL4,ENSG00000276051,ENSG00000189013,NA,Kir3dl1,NA,ENSMUSG00000031424,omnipath,omnipath
HLA-G,LILRB1,ENSG00000276051,ENSG00000104972,NA,Lilra6,NA,ENSMUSG00000030427,omnipath,omnipath
HLA-G,KLRC1,ENSG00000276051,ENSG00000134545,NA,Klrc1,NA,ENSMUSG00000030167,omnipath,omnipath
HLA-G,LILRB2,ENSG00000276051,ENSG00000131042,NA,Lilra6,NA,ENSMUSG00000030427,omnipath,omnipath
HLA-G,KLRD1,ENSG00000276051,ENSG00000134539,NA,Klrd1,NA,ENSMUSG00000030165,omnipath,omnipath
HLA-G,KIR3DL1,ENSG00000276051,ENSG00000167633,NA,Kir3dl1,NA,ENSMUSG00000031424,omnipath,omnipath
HLA-G,CD8A,ENSG00000276051,ENSG00000153563,NA,Cd8a,NA,ENSMUSG00000053977,omnipath,omnipath
HMGB1,TLR4,ENSG00000189403,ENSG00000136869,NA,Tlr4,NA,ENSMUSG00000039005,omnipath,omnipath
HMGB1,AGER,ENSG00000189403,ENSG00000204305,NA,Ager,NA,ENSMUSG00000015452,omnipath,omnipath
HMGB1,HAVCR2,ENSG00000189403,ENSG00000135077,NA,Havcr2,NA,ENSMUSG00000020399,omnipath,omnipath
HMGB1,SDC1,ENSG00000189403,ENSG00000115884,NA,Sdc1,NA,ENSMUSG00000020592,omnipath,omnipath
HMGB1,TLR9,ENSG00000189403,ENSG00000239732,NA,Tlr9,NA,ENSMUSG00000045322,omnipath,omnipath
HMGB1,THBD,ENSG00000189403,ENSG00000178726,NA,Thbd,NA,ENSMUSG00000074743,omnipath,omnipath
HMGB1,CXCR4,ENSG00000189403,ENSG00000121966,NA,Cxcr4,NA,ENSMUSG00000045382,omnipath,omnipath
HMGB1,CD163,ENSG00000189403,ENSG00000177575,NA,Cd163,NA,ENSMUSG00000008845,omnipath,omnipath
HMGB1,TLR2,ENSG00000189403,ENSG00000137462,NA,Tlr2,NA,ENSMUSG00000027995,omnipath,omnipath
HP,APOA1,ENSG00000257017,ENSG00000118137,Hp,Apoa1,ENSMUSG00000031722,ENSMUSG00000032083,omnipath,omnipath
HP,ITGAM,ENSG00000257017,ENSG00000169896,Hp,Itgam,ENSMUSG00000031722,ENSMUSG00000030786,omnipath,omnipath
HP,ITGB2,ENSG00000257017,ENSG00000160255,Hp,Itgb2l,ENSMUSG00000031722,ENSMUSG00000000157,omnipath,omnipath
HP,TLR4,ENSG00000257017,ENSG00000136869,Hp,Tlr4,ENSMUSG00000031722,ENSMUSG00000039005,omnipath,omnipath
